mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__l2_regularization,param_classifier__learning_rate,param_classifier__max_iter,param_classifier__max_leaf_nodes,param_classifier__min_samples_leaf,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
1.1996697425842284,0.17240647085462113,0.028734254837036132,0.002022589564613177,0.0,0.02,350,31,10,"{'classifier__l2_regularization': 0.0, 'classifier__learning_rate': 0.02, 'classifier__max_iter': 350, 'classifier__max_leaf_nodes': 31, 'classifier__min_samples_leaf': 10}",0.8834355828220859,0.8421052631578947,0.8679245283018868,0.891566265060241,0.8875739644970414,0.8745211207678298,0.018081394657682964,153,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.8001317024230957,0.142987110780085,0.03580460548400879,0.008598490932590732,0.0,0.02,350,31,20,"{'classifier__l2_regularization': 0.0, 'classifier__learning_rate': 0.02, 'classifier__max_iter': 350, 'classifier__max_leaf_nodes': 31, 'classifier__min_samples_leaf': 20}",0.896969696969697,0.8439306358381503,0.8805031446540881,0.8780487804878049,0.9079754601226994,0.8814855436144879,0.02174682610559615,12,0.9953775038520801,0.9969325153374233,0.9969230769230769,0.9938461538461538,0.9984639016897081,0.9963086303296885,0.0015711625443338689
0.6149123668670654,0.13939986665648366,0.029845380783081056,0.005224877968054402,0.0,0.02,350,31,30,"{'classifier__l2_regularization': 0.0, 'classifier__learning_rate': 0.02, 'classifier__max_iter': 350, 'classifier__max_leaf_nodes': 31, 'classifier__min_samples_leaf': 30}",0.8819875776397516,0.8470588235294118,0.864516129032258,0.9079754601226994,0.8834355828220859,0.8769947146292413,0.02038672474867816,86,0.9709035222052067,0.9847094801223242,0.9755351681957186,0.9680365296803652,0.9696048632218845,0.9737579126850999,0.006020382958327161
0.231772518157959,0.053450358526396194,0.028624200820922853,0.00877449538598775,0.0,0.03,150,7,10,"{'classifier__l2_regularization': 0.0, 'classifier__learning_rate': 0.03, 'classifier__max_iter': 150, 'classifier__max_leaf_nodes': 7, 'classifier__min_samples_leaf': 10}",0.8711656441717791,0.8390804597701149,0.89171974522293,0.8957055214723927,0.8848484848484849,0.8765039710971403,0.020488373108730803,92,0.9298780487804879,0.9473684210526315,0.9190839694656489,0.9327217125382263,0.9288956127080181,0.9315895529090026,0.009130505383243125
0.18319416046142578,0.011725737365709168,0.021598100662231445,0.0037250647926741565,0.0,0.03,150,7,20,"{'classifier__l2_regularization': 0.0, 'classifier__learning_rate': 0.03, 'classifier__max_iter': 150, 'classifier__max_leaf_nodes': 7, 'classifier__min_samples_leaf': 20}",0.8780487804878049,0.8421052631578947,0.8860759493670886,0.8888888888888888,0.8902439024390244,0.8770725568681403,0.017987972454039984,84,0.928462709284627,0.9429429429429429,0.9207317073170732,0.9280245022970903,0.918429003021148,0.9277181729725763,0.00857369434220322
0.19119491577148437,0.023058881829553013,0.023910951614379884,0.00425574446223369,0.0,0.03,150,7,30,"{'classifier__l2_regularization': 0.0, 'classifier__learning_rate': 0.03, 'classifier__max_iter': 150, 'classifier__max_leaf_nodes': 7, 'classifier__min_samples_leaf': 30}",0.8780487804878049,0.8117647058823529,0.8860759493670886,0.9079754601226994,0.8780487804878049,0.8723827352695501,0.03222762727353886,215,0.9317147192716236,0.9413533834586466,0.9235474006116208,0.9207317073170732,0.9110105580693816,0.9256715537456692,0.01025961535551923
0.32669615745544434,0.02992459470869276,0.02279033660888672,0.005278094471558946,0.0,0.03,150,15,10,"{'classifier__l2_regularization': 0.0, 'classifier__learning_rate': 0.03, 'classifier__max_iter': 150, 'classifier__max_leaf_nodes': 15, 'classifier__min_samples_leaf': 10}",0.8641975308641975,0.8352941176470589,0.8701298701298701,0.8902439024390244,0.8765432098765432,0.8672817261913387,0.018187181767243262,312,0.9723926380368099,0.9740458015267176,0.9696048632218845,0.9709035222052067,0.9725609756097561,0.971901560120075,0.0015195166231383535
0.3105212688446045,0.05004898805227474,0.025572919845581056,0.005778249372572089,0.0,0.03,150,15,20,"{'classifier__l2_regularization': 0.0, 'classifier__learning_rate': 0.03, 'classifier__max_iter': 150, 'classifier__max_leaf_nodes': 15, 'classifier__min_samples_leaf': 20}",0.8957055214723927,0.8439306358381503,0.8805031446540881,0.8819875776397516,0.8875,0.8779253759208766,0.01781345407173183,59,0.9558599695585996,0.974124809741248,0.9571865443425076,0.9558599695585996,0.9648854961832061,0.9615833578768322,0.007113908197328147
0.321628999710083,0.07583387847534107,0.029012489318847656,0.008017573211642336,0.0,0.03,150,15,30,"{'classifier__l2_regularization': 0.0, 'classifier__learning_rate': 0.03, 'classifier__max_iter': 150, 'classifier__max_leaf_nodes': 15, 'classifier__min_samples_leaf': 30}",0.8765432098765432,0.8187134502923976,0.8662420382165605,0.9079754601226994,0.896969696969697,0.8732887710955797,0.030992470384714633,189,0.9484848484848485,0.9548192771084337,0.9435114503816794,0.9422492401215805,0.9484848484848485,0.947509932916278,0.0044494985000729055
0.5717468738555909,0.09222026623778766,0.031558990478515625,0.01230847215254218,0.0,0.03,150,31,10,"{'classifier__l2_regularization': 0.0, 'classifier__learning_rate': 0.03, 'classifier__max_iter': 150, 'classifier__max_leaf_nodes': 31, 'classifier__min_samples_leaf': 10}",0.8658536585365854,0.8372093023255814,0.8589743589743589,0.8994082840236687,0.8823529411764706,0.868759709007333,0.02108903733092767,293,0.9984591679506933,1.0,1.0,0.9984591679506933,1.0,0.9993836671802774,0.0007548504600256505
